part_id,subsystem,description,quantity,source_class,make_or_buy,material_or_model,process_or_supplier,nominal_mass_kg,mass_basis,mass_rollup,manufacturing_release_state,evidence_path
front_d435,sensors,Forward RGBD camera,1,upstream_open_description,buy,Intel RealSense D435,Intel,0.075000,vendor_nominal_reference_only,reference_only_not_additive,reference_only_not_released,config/high_fidelity_vehicle/pre_urdf_contract.yaml
wrist_d435,sensors,Wrist RGBD camera,1,upstream_open_description,buy,Intel RealSense D435,Intel,0.075000,vendor_nominal_reference_only,reference_only_not_additive,reference_only_not_released,config/high_fidelity_vehicle/pre_urdf_contract.yaml
hokuyo_utm30lx,sensors,2D mapping lidar,1,upstream_open_description,buy,Hokuyo UTM-30LX,Hokuyo,0.370000,vendor_nominal_reference_only,reference_only_not_additive,reference_only_not_released,config/high_fidelity_vehicle/pre_urdf_contract.yaml
livox_mid360,sensors,3D obstacle lidar,1,upstream_open_description,buy,Livox MID-360,Livox,0.265000,vendor_nominal_reference_only,reference_only_not_additive,reference_only_not_released,config/high_fidelity_vehicle/pre_urdf_contract.yaml
rear_left_fisheye,sensors,Rear left fisheye camera,1,project_authored_from_public_datasheet,buy,Arducam B0202 IMX291 plus M27195H15,Arducam,0.040000,engineering_upper_bound_reference_only,reference_only_not_additive,reference_only_not_released,config/high_fidelity_vehicle/pre_urdf_contract.yaml
rear_right_fisheye,sensors,Rear right fisheye camera,1,project_authored_from_public_datasheet,buy,Arducam B0202 IMX291 plus M27195H15,Arducam,0.040000,engineering_upper_bound_reference_only,reference_only_not_additive,reference_only_not_released,config/high_fidelity_vehicle/pre_urdf_contract.yaml
zed_f9p_receiver,sensors,GNSS receiver electronics in project enclosure,1,project_authored_from_public_datasheet,buy,u-blox ZED-F9P-04B,u-blox,,pending_vendor_measurement,reference_only_not_additive,pending_vendor_measurement,config/high_fidelity_vehicle/formal_vehicle_component_register.yaml
ann_mb_antenna,sensors,Remote GNSS antenna and ground plane installation,1,project_authored_from_public_datasheet,buy,u-blox ANN-MB-00,u-blox,,pending_vendor_measurement,reference_only_not_additive,pending_vendor_measurement,config/high_fidelity_vehicle/formal_vehicle_component_register.yaml
vectornav_vn100,sensors,Internal IMU on isolated tray,1,upstream_open_description,buy,VectorNav VN-100 Rugged,VectorNav,0.015000,vendor_nominal_reference_only,reference_only_not_additive,reference_only_not_released,config/high_fidelity_vehicle/pre_urdf_contract.yaml
s100p_compute,sensors,User-owned S100P V1P0 board in protective enclosure,1,board_target_only,owned,D-Robotics RDK S100P V1P0,D-Robotics,,pending_owned_board_measurement_and_weighing,reference_only_not_additive,pending_owned_board_measurement,config/high_fidelity_vehicle/formal_vehicle_layout.yaml
arm_pedestal_adapter,structure,Project arm pedestal backplate and six-bolt adapter,1,project_authored_geometry,make,project structural assembly,project fabrication pending,6.500000,nominal_expanded_urdf_reference_only,reference_only_not_additive,design_required_not_released,config/high_fidelity_vehicle/formal_vehicle_component_register.yaml
sensor_tower,structure,Project sensor tower base columns cross ties gussets and service spine,1,project_authored_geometry,make,project structural assembly,project fabrication pending,1.450000,nominal_expanded_urdf_reference_only,reference_only_not_additive,design_required_not_released,docs/formal-vehicle-component-architecture.md
dry_bin,storage,40 L usable dry bin lid latch hopper and chute,1,project_authored_geometry,make,project split-bin assembly,project fabrication pending,,pending_final_cad_and_weighing,reference_only_not_additive,design_required_not_released,starter_ws/src/sanitation_vehicle_description/urdf/high_fidelity/storage_system.xacro
wastewater_tank,storage,8.3 kg final usable wastewater tank baffle lid drain and vent,1,project_authored_geometry,make,project wet-storage assembly,project fabrication pending,,pending_final_cad_and_weighing,reference_only_not_additive,design_required_not_released,starter_ws/src/sanitation_vehicle_description/urdf/high_fidelity/storage_system.xacro
pololu_brush_motors,cleaning,Three Pololu 4694 brush and roller gearmotors with encoder caps,3,project_authored_from_public_datasheet,buy,Pololu 4694 24V 70:1,Pololu,0.615000,three_motor_aggregate_reference_only,reference_only_not_additive,reference_only_not_released,config/high_fidelity_vehicle/pre_urdf_contract.yaml
cleaning_lift,cleaning,Linear actuator and twin-guide lift mechanism,1,project_authored_from_public_datasheet,make_and_buy,Actuonix P16-100-256-12-P,Actuonix,0.110000,vendor_actuator_reference_only,reference_only_not_additive,reference_only_not_released,config/high_fidelity_vehicle/pre_urdf_contract.yaml
squeegee_suction_hoses,cleaning,Floating squeegee suction nozzle three hoses and compliance pack,1,project_authored_geometry,make,project fluid-contact assembly,project fabrication pending,,pending_final_cad_material_and_weighing,reference_only_not_additive,design_required_not_released,starter_ws/src/sanitation_vehicle_description/urdf/high_fidelity/cleaning_mechanism.xacro
recovery_filter,cleaning,Strainer filter and flow-sensor installation,1,project_authored_geometry,make_and_buy,project filter and coupling assembly,project integration pending,,pending_supplier_and_weighing,reference_only_not_additive,design_required_not_released,starter_ws/src/sanitation_vehicle_description/urdf/high_fidelity/cleaning_mechanism.xacro
recovery_pump,cleaning,Diaphragm recovery pump head motor and isolation mount,1,project_authored_from_public_datasheet,buy,Jabsco PAR-MAX HD4 Q402J-118S-3A,Jabsco,2.500000,vendor_nominal_reference_only,reference_only_not_additive,reference_only_not_released,config/high_fidelity_vehicle/pre_urdf_contract.yaml
bodywork_and_doors,bodywork,Project shells lower tub four service doors hinges latches and protective covers,1,project_authored_geometry,make,project bodywork assembly,project fabrication pending,,pending_final_cad_material_and_weighing,reference_only_not_additive,design_required_not_released,starter_ws/src/sanitation_vehicle_description/cad/formal_vehicle/formal_vehicle_layout.scad
emergency_lighting_safety,service_safety,Emergency stop warning work tail lights and contact bumpers,1,mixed_project_and_vendor,make_and_buy,project safety exterior assembly,project integration pending,,pending_component_selection_and_ingress_test,reference_only_not_additive,design_required_not_released,config/high_fidelity_vehicle/formal_vehicle_component_register.yaml
charge_and_drain,service_safety,Charge receptacle lock door wastewater valve pipe cap and hose coupling,1,mixed_project_and_vendor,make_and_buy,project service interface assembly,project integration pending,,pending_component_selection_and_pressure_test,reference_only_not_additive,design_required_not_released,config/high_fidelity_vehicle/formal_vehicle_component_register.yaml
power_distribution,service_safety,Fused PDU isolated DC/DC safety relay isolator and contactor,1,mixed_project_and_vendor,make_and_buy,project power and safety assembly,project integration pending,,pending_power_topology_and_supplier_selection,reference_only_not_additive,design_required_not_released,starter_ws/src/sanitation_vehicle_description/urdf/high_fidelity/a300_platform.xacro
